Number,Title,URL,Date
1,Eighteen-year-old KSU graduate preparing for graduate school,https://www.kennesaw.edu/news/stories/2024/eighteen-year-old-graduate-preparing-for-graduate-school.php,"January 11, 2024"
2,Sophomore biochemistry major excels at Kennesaw State,https://www.kennesaw.edu/news/stories/2024/sophomore-biochemistry-major-excels-at-ksu.php,"January 09, 2024"
3,Kennesaw State receives $2.5 million grant to foster student success in calculus ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-receives-grant-to-foster-success-in-calculus.php,"January 02, 2024"
4,Kennesaw State engineering graduate has literally come a long way,https://www.kennesaw.edu/news/stories/2023/engineering-graduate-has-come-a-long-way.php,"December 14, 2023"
5,Kennesaw State management graduate aims to climb to the top of their sport,https://experience.kennesaw.edu/overcoming-obstacles?source=share-ksu,"December 13, 2023"
6,Kennesaw State graduate encourages women to join the construction industry,https://www.kennesaw.edu/news/stories/2023/graduate-encourages-women-for-construction-industry.php,"December 12, 2023"
7,New graduate found service through theater at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/new-graduate-found-service-through-theater.php,"December 11, 2023"
8,Kennesaw State programs help alumnus grow app that rewards students ,https://www.kennesaw.edu/news/stories/2023/ksu-programs-help-alumnus-grow-app-rewards-students.php,"December 06, 2023"
9,Kennesaw State awarded grant from the Governor's Office of Highway Safety for 17th straight year,https://www.kennesaw.edu/news/stories/2023/ksu-awarded-highway-safety-grant-for-17th-year.php,"December 01, 2023"
10,"New GPB chief, Kennesaw State alum shares passion and vision for service",https://www.kennesaw.edu/news/stories/2023/gpb-chief-ksu-alum-shares-passion-for-service.php,"November 30, 2023"
